query_id,reference_id,img_folder
Q00003,R326040,D:\Driven_Data\Facebook\data\query_images
Q00004,R852827,D:\Driven_Data\Facebook\data\query_images
Q00008,R246671,D:\Driven_Data\Facebook\data\query_images
Q00026,R937849,D:\Driven_Data\Facebook\data\query_images
Q00028,R557200,D:\Driven_Data\Facebook\data\query_images
Q00029,R487691,D:\Driven_Data\Facebook\data\query_images
Q00031,R863161,D:\Driven_Data\Facebook\data\query_images
Q00035,R531761,D:\Driven_Data\Facebook\data\query_images
Q00037,R450692,D:\Driven_Data\Facebook\data\query_images
Q00046,R277154,D:\Driven_Data\Facebook\data\query_images
Q00049,R217235,D:\Driven_Data\Facebook\data\query_images
Q00051,R645759,D:\Driven_Data\Facebook\data\query_images
Q00058,R757586,D:\Driven_Data\Facebook\data\query_images
Q00061,R020965,D:\Driven_Data\Facebook\data\query_images
Q00063,R645082,D:\Driven_Data\Facebook\data\query_images
Q00065,R267733,D:\Driven_Data\Facebook\data\query_images
Q00071,R494641,D:\Driven_Data\Facebook\data\query_images
Q00073,R379825,D:\Driven_Data\Facebook\data\query_images
Q00083,R964915,D:\Driven_Data\Facebook\data\query_images
Q00084,R949656,D:\Driven_Data\Facebook\data\query_images
Q00089,R358261,D:\Driven_Data\Facebook\data\query_images
Q00096,R402336,D:\Driven_Data\Facebook\data\query_images
Q00109,R063541,D:\Driven_Data\Facebook\data\query_images
Q00113,R858201,D:\Driven_Data\Facebook\data\query_images
Q00117,R414344,D:\Driven_Data\Facebook\data\query_images
Q00123,R689939,D:\Driven_Data\Facebook\data\query_images
Q00128,R699182,D:\Driven_Data\Facebook\data\query_images
Q00132,R373732,D:\Driven_Data\Facebook\data\query_images
Q00149,R623659,D:\Driven_Data\Facebook\data\query_images
Q00150,R231163,D:\Driven_Data\Facebook\data\query_images
Q00152,R051767,D:\Driven_Data\Facebook\data\query_images
Q00155,R779963,D:\Driven_Data\Facebook\data\query_images
Q00161,R630056,D:\Driven_Data\Facebook\data\query_images
Q00163,R180219,D:\Driven_Data\Facebook\data\query_images
Q00171,R873872,D:\Driven_Data\Facebook\data\query_images
Q00185,R472314,D:\Driven_Data\Facebook\data\query_images
Q00187,R712300,D:\Driven_Data\Facebook\data\query_images
Q00198,R548358,D:\Driven_Data\Facebook\data\query_images
Q00205,R135564,D:\Driven_Data\Facebook\data\query_images
Q00206,R595071,D:\Driven_Data\Facebook\data\query_images
Q00208,R951638,D:\Driven_Data\Facebook\data\query_images
Q00210,R605071,D:\Driven_Data\Facebook\data\query_images
Q00211,R093166,D:\Driven_Data\Facebook\data\query_images
Q00214,R697938,D:\Driven_Data\Facebook\data\query_images
Q00217,R505137,D:\Driven_Data\Facebook\data\query_images
