query_id,reference_id,img_folder
Q00000,Q00000,/tf/facebook/data/query_images/
Q00001,Q00001,/tf/facebook/data/query_images/
Q00002,Q00002,/tf/facebook/data/query_images/
Q00003,Q00003,/tf/facebook/data/query_images/
Q00004,Q00004,/tf/facebook/data/query_images/
Q00005,Q00005,/tf/facebook/data/query_images/
Q00006,Q00006,/tf/facebook/data/query_images/
Q00007,Q00007,/tf/facebook/data/query_images/
Q00008,Q00008,/tf/facebook/data/query_images/
Q00009,Q00009,/tf/facebook/data/query_images/
Q00010,Q00010,/tf/facebook/data/query_images/
Q00011,Q00011,/tf/facebook/data/query_images/
Q00012,Q00012,/tf/facebook/data/query_images/
Q00013,Q00013,/tf/facebook/data/query_images/
Q00014,Q00014,/tf/facebook/data/query_images/
Q00015,Q00015,/tf/facebook/data/query_images/
Q00016,Q00016,/tf/facebook/data/query_images/
Q00017,Q00017,/tf/facebook/data/query_images/
Q00018,Q00018,/tf/facebook/data/query_images/
Q00019,Q00019,/tf/facebook/data/query_images/
Q00020,Q00020,/tf/facebook/data/query_images/
Q00021,Q00021,/tf/facebook/data/query_images/
Q00022,Q00022,/tf/facebook/data/query_images/
Q00023,Q00023,/tf/facebook/data/query_images/
Q00024,Q00024,/tf/facebook/data/query_images/
Q00025,Q00025,/tf/facebook/data/query_images/
Q00026,Q00026,/tf/facebook/data/query_images/
Q00027,Q00027,/tf/facebook/data/query_images/
Q00028,Q00028,/tf/facebook/data/query_images/
Q00029,Q00029,/tf/facebook/data/query_images/
Q00030,Q00030,/tf/facebook/data/query_images/
Q00031,Q00031,/tf/facebook/data/query_images/
Q00032,Q00032,/tf/facebook/data/query_images/
Q00033,Q00033,/tf/facebook/data/query_images/
Q00034,Q00034,/tf/facebook/data/query_images/
Q00035,Q00035,/tf/facebook/data/query_images/
Q00036,Q00036,/tf/facebook/data/query_images/
Q00037,Q00037,/tf/facebook/data/query_images/
Q00038,Q00038,/tf/facebook/data/query_images/
Q00039,Q00039,/tf/facebook/data/query_images/
Q00040,Q00040,/tf/facebook/data/query_images/
Q00041,Q00041,/tf/facebook/data/query_images/
Q00042,Q00042,/tf/facebook/data/query_images/
Q00043,Q00043,/tf/facebook/data/query_images/
Q00044,Q00044,/tf/facebook/data/query_images/
Q00045,Q00045,/tf/facebook/data/query_images/
Q00046,Q00046,/tf/facebook/data/query_images/
Q00047,Q00047,/tf/facebook/data/query_images/
Q00048,Q00048,/tf/facebook/data/query_images/
Q00049,Q00049,/tf/facebook/data/query_images/
Q00050,Q00050,/tf/facebook/data/query_images/
Q00051,Q00051,/tf/facebook/data/query_images/
Q00052,Q00052,/tf/facebook/data/query_images/
Q00053,Q00053,/tf/facebook/data/query_images/
Q00054,Q00054,/tf/facebook/data/query_images/
Q00055,Q00055,/tf/facebook/data/query_images/
Q00056,Q00056,/tf/facebook/data/query_images/
Q00057,Q00057,/tf/facebook/data/query_images/
Q00058,Q00058,/tf/facebook/data/query_images/
Q00059,Q00059,/tf/facebook/data/query_images/
Q00060,Q00060,/tf/facebook/data/query_images/
Q00061,Q00061,/tf/facebook/data/query_images/
Q00062,Q00062,/tf/facebook/data/query_images/
Q00063,Q00063,/tf/facebook/data/query_images/
Q00064,Q00064,/tf/facebook/data/query_images/
Q00065,Q00065,/tf/facebook/data/query_images/
Q00066,Q00066,/tf/facebook/data/query_images/
Q00067,Q00067,/tf/facebook/data/query_images/
Q00068,Q00068,/tf/facebook/data/query_images/
Q00069,Q00069,/tf/facebook/data/query_images/
Q00070,Q00070,/tf/facebook/data/query_images/
Q00071,Q00071,/tf/facebook/data/query_images/
Q00072,Q00072,/tf/facebook/data/query_images/
Q00073,Q00073,/tf/facebook/data/query_images/
Q00074,Q00074,/tf/facebook/data/query_images/
Q00075,Q00075,/tf/facebook/data/query_images/
Q00076,Q00076,/tf/facebook/data/query_images/
Q00077,Q00077,/tf/facebook/data/query_images/
Q00078,Q00078,/tf/facebook/data/query_images/
Q00079,Q00079,/tf/facebook/data/query_images/
Q00080,Q00080,/tf/facebook/data/query_images/
Q00081,Q00081,/tf/facebook/data/query_images/
Q00082,Q00082,/tf/facebook/data/query_images/
Q00083,Q00083,/tf/facebook/data/query_images/
Q00084,Q00084,/tf/facebook/data/query_images/
Q00085,Q00085,/tf/facebook/data/query_images/
Q00086,Q00086,/tf/facebook/data/query_images/
Q00087,Q00087,/tf/facebook/data/query_images/
Q00088,Q00088,/tf/facebook/data/query_images/
Q00089,Q00089,/tf/facebook/data/query_images/
Q00090,Q00090,/tf/facebook/data/query_images/
Q00091,Q00091,/tf/facebook/data/query_images/
Q00092,Q00092,/tf/facebook/data/query_images/
Q00093,Q00093,/tf/facebook/data/query_images/
Q00094,Q00094,/tf/facebook/data/query_images/
Q00095,Q00095,/tf/facebook/data/query_images/
Q00096,Q00096,/tf/facebook/data/query_images/
Q00097,Q00097,/tf/facebook/data/query_images/
Q00098,Q00098,/tf/facebook/data/query_images/
Q00099,Q00099,/tf/facebook/data/query_images/
Q00100,Q00100,/tf/facebook/data/query_images/
Q00101,Q00101,/tf/facebook/data/query_images/
Q00102,Q00102,/tf/facebook/data/query_images/
Q00103,Q00103,/tf/facebook/data/query_images/
Q00104,Q00104,/tf/facebook/data/query_images/
Q00105,Q00105,/tf/facebook/data/query_images/
Q00106,Q00106,/tf/facebook/data/query_images/
Q00107,Q00107,/tf/facebook/data/query_images/
Q00108,Q00108,/tf/facebook/data/query_images/
Q00109,Q00109,/tf/facebook/data/query_images/
Q00110,Q00110,/tf/facebook/data/query_images/
Q00111,Q00111,/tf/facebook/data/query_images/
Q00112,Q00112,/tf/facebook/data/query_images/
